seed,init_id,cell,epsilon,center_gain,gain_minus,gain_plus,actual_log_span,loss_minus,loss_center,loss_plus,fd_gradient_gain,fd_gradient_log_gain,analytic_gradient_gain,analytic_gradient_log_gain,loss_difference_exact_zero,center_firing_rate_hz
123,4,1,0.1,0.0108905816450715,0.0098542058840394,0.0120359547436237,0.2000000413245,114130.0,120336.0,125534.0,5226999.409167957,57019.98821838749,43436740.0,473051.3633657433,False,252.5083050904332
123,4,2,0.0025,0.0116654084995388,0.0116362813860178,0.0116946091875433,0.005000059715740402,135133.0,135068.0,135682.0,9412321.151174841,109798.68865800233,149172176.0,1740154.3698051125,False,214.7243381094594
123,4,2,0.005,0.0116654084995388,0.0116072269156575,0.0117238815873861,0.010000008686746751,134507.0,135068.0,136293.0,15310145.52211989,178599.8448548378,149172176.0,1740154.3698051125,False,214.7243381094594
123,4,2,0.01,0.0116654084995388,0.0115493359044194,0.0117826480418443,0.020000006427799973,134195.0,135068.0,136519.0,9960904.844687117,116199.96265449416,149172176.0,1740154.3698051125,False,214.7243381094594
123,4,2,0.02,0.0116654084995388,0.0114344181492924,0.0119010647758841,0.03999993021461484,133466.0,135068.0,136759.0,7056731.60877956,82325.1436272964,149172176.0,1740154.3698051125,False,214.7243381094594
123,4,2,0.05,0.0116654084995388,0.0110964803025126,0.0122635066509246,0.09999994516971436,131295.0,135068.0,139444.0,6982704.384599837,81490.04468122427,149172176.0,1740154.3698051125,False,214.7243381094594
123,4,2,0.1,0.0116654084995388,0.0105552980676293,0.0128922704607248,0.2000000223172223,126904.0,135068.0,144081.0,7350108.221538612,85884.99041642789,149172176.0,1740154.3698051125,False,214.7243381094594
123,4,7,0.0025,0.0098292483016848,0.0098047060891985,0.0098538529127836,0.0050000537650311755,4724.0,4783.0,4798.0,1505692.425307336,14799.840857218984,13677.62890625,134.4408106978335,False,26.341397939666454
123,4,7,0.005,0.0098292483016848,0.0097802244126796,0.0098785171285271,0.009999982424428133,4694.0,4783.0,4818.0,1261538.0390179006,12400.021793747419,13677.62890625,134.4408106978335,False,26.341397939666454
123,4,7,0.01,0.0098292483016848,0.0097314454615116,0.0099280336871743,0.01999999868482249,4670.0,4783.0,4809.0,707061.6743776515,6950.000457024215,13677.62890625,134.4408106978335,False,26.341397939666454
123,4,7,0.02,0.0098292483016848,0.0096346158534288,0.0100278118625283,0.03999998774157432,4651.0,4783.0,4864.0,541714.5522097603,5325.001631903419,13677.62890625,134.4408106978335,False,26.341397939666454
123,4,7,0.05,0.0098292483016848,0.0093498704954981,0.0103332046419382,0.09999996927769736,4595.0,4783.0,4885.0,294915.010375535,2900.0008909470503,13677.62890625,134.4408106978335,False,26.341397939666454
